FacilityName,FacilityType,Borough,Phone,Email ,Ranking 
Elmhurst Hospital Center,Child Health Center,Queens,718-334-4000,elmhursthos@gmail.com,4.2
Gouverneur Healthcare Services,Nursing Home,Manhattan,212-238-7000,Gouvernerurhos@aol.com,4.5
Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,Nursing Home,Manhattan,212-238-7000,colergoldwater@gmail.org,4.6
Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,Nursing Home,Manhattan,212-848-6000,colergoldwater@gmail.org,4.5
Gouverneur Healthcare Services,Diagnostic & Treatment Center,Manhattan,212-238-7000,Gouvernerurhos@aol.com,4.8
Bellevue Hospital Center,Acute Care Hospital,Manhattan,212-562-4141,bellevuehos@gmail.org,4.9
Harlem Hospital Center,Acute Care Hospital,Manhattan,212-939-1000,harlemmed@gmail.com,5
Woodhull Medical and Mental Health Center,Child Health Center,Brooklyn,718-963-8000,woodhullmedcenter@gmail.org,4
Drew Hamilton Houses Health Center,Child Health Center,Manhattan,212-939-8950,drewhamiltonhos@aol.com,4.3
Parsons Communicare Clinic,Child Health Center,Queens,718-334-6401,parsonsbiomed@gmail.com,4.4
Washington Heights Child Health Care Center,Child Health Center,Manhattan,212-795-0880,washingtonheights@gmail.org,4.6
Segundo Ruiz Belvis Diagnostic & Treatment Center,Diagnostic & Treatment Center,Bronx,718-579-4000,SegundoRuiz@aol.com,4.8
